,Date,Sg. Golok (m)
384,2017-01-19,6.3
385,2017-01-20,8.37
386,2017-01-21,9.99
387,2017-01-22,10.1
388,2017-01-23,9.89
389,2017-01-24,9.59
390,2017-01-25,9.24
391,2017-01-26,9.19
392,2017-01-27,9.41
393,2017-01-28,9.49
394,2017-01-29,9.3
395,2017-01-30,8.62
396,2017-01-31,7.71
397,2017-01-02,6.76
398,2017-02-02,6.21
399,2017-03-02,5.93
400,2017-04-02,5.72
401,2017-05-02,5.67
402,2017-06-02,5.63
403,2017-07-02,5.39
404,2017-08-02,5.2
405,2017-09-02,5.03
406,2017-10-02,4.88
407,2017-11-02,4.8
408,2017-12-02,4.83
409,2017-02-13,4.72
410,2017-02-14,4.68
411,2017-02-15,4.66
412,2017-02-16,4.67
413,2017-02-17,4.65
414,2017-02-18,4.6
415,2017-02-19,5.52
416,2017-02-20,5.54
417,2017-02-21,5.02
418,2017-02-22,4.74
419,2017-02-23,4.58
420,2017-02-24,4.67
421,2017-02-25,4.56
422,2017-02-26,4.53
423,2017-02-27,5.51
424,2017-02-28,6.19
425,2017-01-03,5.68
426,2017-02-03,5.55
427,2017-03-03,5.48
428,2017-04-03,5.18
429,2017-05-03,4.93
430,2017-06-03,4.74
431,2017-07-03,4.61
432,2017-08-03,4.49
433,2017-09-03,4.39
434,2017-10-03,4.31
435,2017-11-03,4.24
436,2017-12-03,4.17
437,2017-03-13,4.11
438,2017-03-14,4.06
439,2017-03-15,4.02
440,2017-03-16,4.03
441,2017-03-17,3.97
442,2017-03-18,3.93
443,2017-03-19,3.9
444,2017-03-20,3.92
445,2017-03-21,4.31
446,2017-03-22,4.36
447,2017-03-23,4.05
448,2017-03-24,3.84
449,2017-03-25,3.72
450,2017-03-26,3.66
451,2017-03-27,3.69
452,2017-03-28,3.74
453,2017-03-29,3.71
454,2017-03-30,3.68
455,2017-03-31,5.36
456,2017-01-04,4.15
457,2017-02-04,4.92
458,2017-03-04,6.13
459,2017-04-04,6.56
460,2017-05-04,5.74
461,2017-06-04,5.28
462,2017-07-04,5.02
463,2017-08-04,5.1
464,2017-09-04,5.07
465,2017-10-04,4.82
466,2017-11-04,5.09
467,2017-12-04,4.9
468,2017-04-13,4.6
469,2017-04-14,4.6
470,2017-04-15,4.36
