Date,Sg. Besut Jerteh (m)
23/11/2017,1.07
24/11/2017,1.18
25/11/2017,1.19
26/11/2017,4.89
27/11/2017,4.74
28/11/2017,6.91
29/11/2017,1.94
30/11/2017,2.1
1/12/2017,5.74
2/12/2017,4.01
3/12/2017,2.31
4/12/2017,2.25
5/12/2017,2.38
6/12/2017,2.21
7/12/2017,2.41
8/12/2017,2.81
9/12/2017,1.75
10/12/2017,1.55
11/12/2017,1.5
12/12/2017,1.36
13/12/2017,1.29
14/12/2017,1.28
15/12/2017,1.03
16/12/2017,1.24
17/12/2017,1.26
18/12/2017,1.27
19/12/2017,1.14
20/12/2017,1.11
21/12/2017,1.03
22/12/2017,1.15
23/12/2017,1.52
24/12/2017,1.38
25/12/2017,1.12
26/12/2017,0.85
27/12/2017,0.96
28/12/2017,0.86
29/12/2017,0.86
30/12/2017,0.86
31/12/2017,0.86
1/1/2018,3.35
2/1/2018,3.71
3/1/2018,3.43
4/1/2018,2.66
5/1/2018,2.1
6/1/2018,1.94
7/1/2018,1.63
8/1/2018,1.64
9/1/2018,1.3
10/1/2018,1.42
11/1/2018,1.63
12/1/2018,1.9
13/1/2018,1.66
14/1/2018,1.58
15/1/2018,1.3
16/1/2018,1.13
17/1/2018,1.2
18/1/2018,1.16
19/1/2018,1.1
20/1/2018,1.94
21/1/2018,3.18
22/1/2018,1.46
23/1/2018,1.36
24/1/2018,1.23
25/1/2018,1.06
26/1/2018,1.13
27/1/2018,1.17
28/1/2018,0.92
29/1/2018,1.06
30/1/2018,1
31/1/2018,0.91
1/2/2018,1.05
2/2/2018,1.03
3/2/2018,1.02
4/2/2018,0.93
5/2/2018,0.89
6/2/2018,0.71
7/2/2018,0.89
8/2/2018,0.69
9/2/2018,0.71
10/2/2018,0.73
11/2/2018,0.74
12/2/2018,1.08
13/2/2018,1.07
14/2/2018,1.09
15/2/2018,1
16/2/2018,0.95
17/2/2018,0.91
18/2/2018,0.88
19/2/2018,0.93
20/2/2018,1.08
21/2/2018,0.81
22/2/2018,0.94
23/2/2018,1.23
24/2/2018,3.32
25/2/2018,1.16
26/2/2018,1.22
27/2/2018,1.23
28/2/2018,0.96
1/3/2018,1.08
2/3/2018,0.94
3/3/2018,0.94
4/3/2018,0.9
5/3/2018,0.85
6/3/2018,0.86
7/3/2018,0.89
8/3/2018,0.88
9/3/2018,1
10/3/2018,1.18
11/3/2018,1.08
12/3/2018,0.98
13/3/2018,0.83
14/3/2018,1.1
15/3/2018,0.75
16/3/2018,0.9
17/3/2018,0.84
18/3/2018,0.75
19/3/2018,0.84
20/3/2018,0.86
21/3/2018,0.81
22/3/2018,0.81
23/3/2018,1
24/3/2018,0.82
25/3/2018,0.88
26/3/2018,1
27/3/2018,0.82
28/3/2018,0.74
29/3/2018,1.16
30/3/2018,1.12
31/3/2018,1.05
1/4/2018,1.15
2/4/2018,1.12
3/4/2018,1.05
4/4/2018,1.03
5/4/2018,1
6/4/2018,1.05
7/4/2018,1.15
8/4/2018,1.28
9/4/2018,1.42
10/4/2018,1.31
11/4/2018,1.15
12/4/2018,1.14
13/4/2018,1.12
14/4/2018,1.07
15/4/2018,1.07
16/4/2018,1.08
17/4/2018,1.13
18/4/2018,1.1
19/4/2018,1.08
20/4/2018,1.08
21/4/2018,1.4
22/4/2018,1.26
23/4/2018,1.14
24/4/2018,0.98
25/4/2018,0.97
26/4/2018,1.16
27/4/2018,1.31
28/4/2018,1.17
29/4/2018,1.06
30/4/2018,1.07
1/5/2018,1.1
2/5/2018,1.31
3/5/2018,1.37
4/5/2018,1.36
5/5/2018,1.38
6/5/2018,1.21
7/5/2018,0.95
8/5/2018,1.01
9/5/2018,2.26
10/5/2018,1.29
11/5/2018,1.03
12/5/2018,0.96
13/5/2018,0.97
14/5/2018,1.01
15/5/2018,1.17
16/5/2018,1.29
17/5/2018,1.73
18/5/2018,1.81
19/5/2018,1.11
20/5/2018,1.11
21/5/2018,1.08
22/5/2018,1.06
23/5/2018,1.04
24/5/2018,1.23
25/5/2018,1.78
26/5/2018,1.38
27/5/2018,1.26
28/5/2018,1.15
29/5/2018,1.16
30/5/2018,1.15
31/5/2018,2.11
1/6/2018,1.21
2/6/2018,1.22
3/6/2018,1.03
4/6/2018,0.94
5/6/2018,1
6/6/2018,1.35
7/6/2018,1.49
8/6/2018,1.38
9/6/2018,1.23
10/6/2018,1.14
11/6/2018,1.02
12/6/2018,1.08
13/6/2018,1.09
14/6/2018,1.05
15/6/2018,1.07
16/6/2018,1.11
17/6/2018,1.08
18/6/2018,1.07
19/6/2018,1
20/6/2018,1.04
21/6/2018,1.06
22/6/2018,1.06
23/6/2018,1.13
24/6/2018,1.11
25/6/2018,1.13
26/6/2018,1.18
27/6/2018,1.11
28/6/2018,1.18
29/6/2018,2.48
30/6/2018,2.5
1/7/2018,1.14
2/7/2018,1.16
3/7/2018,1.52
4/7/2018,1.96
5/7/2018,2.02
6/7/2018,2.02
7/7/2018,2.04
8/7/2018,2.07
9/7/2018,2.12
10/7/2018,2.09
11/7/2018,2.06
12/7/2018,1.62
13/7/2018,1.27
14/7/2018,1.27
15/7/2018,1.29
16/7/2018,1.25
17/7/2018,1.25
18/7/2018,1.18
19/7/2018,1.27
20/7/2018,1.3
21/7/2018,1.17
22/7/2018,1.18
23/7/2018,1.35
24/7/2018,1.15
25/7/2018,1.91
26/7/2018,2.05
27/7/2018,2.04
28/7/2018,2.27
29/7/2018,2.33
30/7/2018,2.17
31/7/2018,0.81
1/8/2018,2.08
2/8/2018,2.06
3/8/2018,2.05
4/8/2018,2.05
5/8/2018,2.04
6/8/2018,2.04
7/8/2018,2.04
8/8/2018,2.04
9/8/2018,2.05
10/8/2018,2.05
11/8/2018,2.04
12/8/2018,2.04
13/8/2018,2.03
14/8/2018,2.02
15/8/2018,2.01
16/8/2018,2.01
17/8/2018,2.01
18/8/2018,2.02
19/8/2018,2.08
20/8/2018,2.13
21/8/2018,2.09
22/8/2018,2.47
23/8/2018,2.64
24/8/2018,2.21
25/8/2018,2.11
26/8/2018,2.09
27/8/2018,2.08
28/8/2018,2.15
29/8/2018,2.12
30/8/2018,2.09
31/8/2018,2.09
1/9/2018,2.14
2/9/2018,2.16
3/9/2018,2.14
4/9/2018,2.32
5/9/2018,2.23
6/9/2018,2.24
7/9/2018,2.52
8/9/2018,2.45
9/9/2018,2.57
10/9/2018,2.56
11/9/2018,2.32
12/9/2018,2.4
13/9/2018,2.37
14/9/2018,2.4
15/9/2018,2.43
16/9/2018,2.24
17/9/2018,2.23
18/9/2018,2.31
19/9/2018,2.26
20/9/2018,2.19
21/9/2018,2.15
22/9/2018,2.15
23/9/2018,2.17
24/9/2018,2.11
25/9/2018,2.09
26/9/2018,2.16
27/9/2018,2.2
28/9/2018,2.19
29/9/2018,0.8
